,game1,game2,home_x,away_x,away_win
391,1528,3310,-20.0,-9.0,0.0
392,1529,2594,7.0,-12.0,0.0
393,1530,3621,-1.0,-6.0,0.0
394,1531,2658,22.0,4.0,1.0
395,1532,2560,20.0,3.0,1.0
396,1535,2740,4.0,20.0,1.0
397,1538,3149,16.0,-12.0,0.0
398,1539,3105,-9.0,3.0,1.0
399,1540,2231,-23.0,-16.0,0.0
400,1541,3130,-17.0,-17.0,0.0
401,1542,2581,12.0,-6.0,0.0
402,1543,2282,19.0,6.0,1.0
403,1544,2809,-19.0,-3.0,0.0
404,1545,3134,-20.0,-15.0,0.0
405,1546,2706,10.0,-19.0,0.0
406,1548,2583,1.0,-13.0,0.0
407,1549,2533,4.0,-12.0,0.0
408,1550,2773,-8.0,-6.0,0.0
409,1551,2812,16.0,11.0,1.0
410,1553,2746,9.0,16.0,1.0
411,1554,2972,1.0,4.0,1.0
412,1555,2679,-1.0,-10.0,0.0
413,1556,2978,4.0,15.0,1.0
414,1557,2634,6.0,-3.0,0.0
415,1558,3050,-6.0,-1.0,0.0
416,1559,2683,5.0,5.0,1.0
417,1560,2473,-12.0,-17.0,0.0
418,1561,2570,13.0,6.0,1.0
419,1562,2619,12.0,-11.0,0.0
420,1563,2686,7.0,6.0,1.0
421,1564,2292,-22.0,-14.0,0.0
422,1565,2310,18.0,-3.0,0.0
423,1566,3317,41.0,11.0,1.0
424,1567,2620,5.0,-5.0,0.0
425,1568,2698,15.0,2.0,1.0
426,1569,2965,17.0,-9.0,0.0
427,1570,2781,22.0,-15.0,0.0
428,1571,3145,23.0,2.0,1.0
429,1572,2704,-14.0,-9.0,0.0
430,1575,2813,24.0,1.0,1.0
431,1576,2716,19.0,21.0,1.0
432,1577,3445,1.0,2.0,1.0
433,1579,3001,2.0,-14.0,0.0
434,1581,2031,-18.0,-16.0,0.0
435,1582,2125,9.0,-6.0,0.0
436,1587,2755,6.0,-20.0,0.0
437,1590,2741,-1.0,1.0,1.0
438,1591,2724,-3.0,18.0,1.0
439,1592,2919,2.0,3.0,1.0
440,1597,2549,-19.0,-11.0,0.0
441,1598,2612,2.0,-8.0,0.0
442,1599,3212,4.0,11.0,1.0
443,1600,2799,-2.0,-8.0,0.0
444,1601,3014,2.0,-2.0,0.0
445,1602,3042,4.0,-2.0,0.0
446,1603,2609,4.0,-1.0,0.0
447,1604,2116,-2.0,3.0,1.0
448,1605,2735,-5.0,8.0,1.0
449,1606,2733,12.0,-6.0,0.0
450,1607,3240,-24.0,-6.0,0.0
451,1608,2742,-3.0,-22.0,0.0
452,1609,2840,7.0,-6.0,0.0
453,1610,2873,-31.0,-21.0,0.0
454,1611,2721,17.0,-5.0,0.0
455,1613,3022,12.0,-9.0,0.0
456,1615,2715,7.0,-2.0,0.0
457,1616,2482,13.0,-1.0,0.0
458,1617,2752,6.0,11.0,1.0
459,1618,3264,14.0,12.0,1.0
460,1619,3143,-21.0,-21.0,0.0
461,1620,2983,2.0,-6.0,0.0
462,1621,2577,-10.0,-24.0,0.0
463,1622,2777,8.0,2.0,1.0
464,1624,2762,7.0,16.0,1.0
465,1625,2764,11.0,1.0,1.0
466,1627,2885,19.0,-1.0,0.0
467,1630,2026,1.0,-6.0,0.0
468,1631,2876,-5.0,-2.0,0.0
469,1632,2761,-1.0,1.0,1.0
470,1634,2889,-6.0,-4.0,0.0
471,1636,3133,22.0,-19.0,0.0
472,1637,2437,-2.0,-18.0,0.0
473,1638,2911,41.0,14.0,1.0
474,1639,2912,-11.0,-24.0,0.0
475,1640,2999,-4.0,-5.0,0.0
476,1641,2790,3.0,3.0,1.0
477,1642,2868,4.0,2.0,1.0
478,1643,2791,8.0,15.0,1.0
479,1644,2935,1.0,-13.0,0.0
480,1645,2700,1.0,-4.0,0.0
481,1646,3427,5.0,1.0,1.0
482,1647,2258,8.0,-3.0,0.0
483,1649,2998,10.0,-7.0,0.0
484,1650,2775,15.0,-18.0,0.0
485,1652,2921,12.0,-6.0,0.0
486,1653,2940,10.0,-9.0,0.0
487,1655,2804,-7.0,-10.0,0.0
488,1656,2947,27.0,4.0,1.0
489,1657,2897,18.0,-5.0,0.0
490,1658,2943,2.0,-15.0,0.0
491,1659,2953,-1.0,-19.0,0.0
492,1660,2623,-1.0,1.0,1.0
493,1661,2901,-2.0,1.0,1.0
494,1662,3067,9.0,-17.0,0.0
495,1663,3315,-7.0,10.0,1.0
496,1664,2857,-10.0,-32.0,0.0
497,1665,2988,8.0,-3.0,0.0
498,1666,2973,-3.0,-3.0,0.0
499,1667,2974,-5.0,-7.0,0.0
500,1668,2975,16.0,2.0,1.0
501,1669,2767,9.0,-1.0,0.0
502,1670,2977,3.0,2.0,1.0
503,1673,3259,-17.0,-10.0,0.0
504,1675,3096,-2.0,3.0,1.0
505,1676,2891,-7.0,-10.0,0.0
506,1677,2436,9.0,-8.0,0.0
507,1679,2898,8.0,3.0,1.0
508,1680,3082,6.0,-13.0,0.0
509,1681,3454,-9.0,-10.0,0.0
510,1684,2908,4.0,14.0,1.0
511,1685,2260,-24.0,-1.0,0.0
512,1686,2848,4.0,-3.0,0.0
513,1687,2829,13.0,-6.0,0.0
514,1689,2917,-11.0,-19.0,0.0
515,1690,2934,-14.0,2.0,1.0
516,1691,2920,4.0,-2.0,0.0
517,1692,2641,18.0,18.0,1.0
518,1693,2855,9.0,-12.0,0.0
519,1694,3049,-11.0,-4.0,0.0
520,1695,2513,9.0,-9.0,0.0
521,1696,2826,15.0,-3.0,0.0
522,1697,2933,41.0,12.0,1.0
523,1699,2272,33.0,24.0,1.0
524,1700,2561,12.0,2.0,1.0
525,1701,2949,-2.0,-2.0,0.0
526,1702,3510,-15.0,-9.0,0.0
527,1703,3115,2.0,-22.0,0.0
528,1704,2852,12.0,8.0,1.0
529,1705,2281,-8.0,-36.0,0.0
530,1706,3520,-8.0,-13.0,0.0
531,1707,2991,13.0,-3.0,0.0
532,1708,3155,21.0,2.0,1.0
533,1709,3527,-6.0,-5.0,0.0
534,1710,2858,-8.0,-16.0,0.0
535,1711,2504,-10.0,1.0,1.0
536,1713,2981,-3.0,-4.0,0.0
537,1714,2879,-1.0,5.0,1.0
