,game1,game2
1439,5160,6493
1440,5161,6465
1441,5162,6383
1442,5163,6952
1443,5165,6640
1444,5166,5819
1445,5168,5823
1446,5169,6342
1447,5170,6321
1448,5172,6313
1449,5174,6480
1450,5175,6409
1451,5177,7277
1452,5178,6430
1453,5179,6435
1454,5180,6491
1455,5182,6334
1456,5183,6431
1457,5184,6445
1458,5185,6452
1459,5186,6239
1460,5187,6637
1461,5188,6337
1462,5190,6628
1463,5192,6532
1464,5193,6508
1465,5196,6317
1466,5197,6349
1467,5198,5669
1468,5199,6344
1469,5200,6635
1470,5201,6944
1471,5202,6325
1472,5203,6343
1473,5204,6352
1474,5206,6381
1475,5207,6565
1476,5209,6535
1477,5210,6901
1478,5211,6692
1479,5212,6733
1480,5213,6477
1481,5214,6479
1482,5216,6487
1483,5217,6796
1484,5218,6472
1485,5219,6373
1486,5220,6307
1487,5222,6557
1488,5223,6824
1489,5224,6416
1490,5227,6444
1491,5228,6880
1492,5229,6312
1493,5230,6382
1494,5231,6073
1495,5232,6385
1496,5234,6387
1497,5235,5795
1498,5237,5821
1499,5238,6884
1500,5239,6676
1501,5240,6315
1502,5242,6393
1503,5243,6681
1504,5244,6395
1505,5245,6396
1506,5246,6224
1507,5248,6683
1508,5249,6399
1509,5250,5830
1510,5251,6669
1511,5252,6972
1512,5253,6276
1513,5254,6407
1514,5255,7006
1515,5256,6361
1516,5257,6929
1517,5258,6324
1518,5259,6410
1519,5260,6495
1520,5261,6834
1521,5262,6412
1522,5263,5554
1523,5266,6611
1524,5267,6418
1525,5268,7209
1526,5270,6709
1527,5271,6422
1528,5274,7086
1529,5276,7186
1530,5278,6427
1531,5280,6329
1532,5281,6566
1533,5283,7019
1534,5284,6810
1535,5285,6428
1536,5286,6331
1537,5287,6364
1538,5289,7007
1539,5291,6440
1540,5292,6814
1541,5293,6363
1542,5294,7122
1543,5295,6335
1544,5298,6447
1545,5299,6642
1546,5300,6644
1547,5301,6735
1548,5302,6570
1549,5303,6454
1550,5305,6457
1551,5306,6741
1552,5307,5971
1553,5308,6433
1554,5309,6771
1555,5310,6536
1556,5311,6340
1557,5312,6464
1558,5313,6400
1559,5314,6308
1560,5315,6822
1561,5316,6538
1562,5317,6574
1563,5318,6589
1564,5319,6590
1565,5320,6588
1566,5321,7448
1567,5322,6556
1568,5323,6485
1569,5324,7035
1570,5325,6632
1571,5326,6474
1572,5327,6496
1573,5328,6490
1574,5329,6441
1575,5330,6346
1576,5331,6568
1577,5332,5909
1578,5333,7046
1579,5334,6767
1580,5335,6351
1581,5336,6429
1582,5337,6486
1583,5338,6355
1584,5339,6488
1585,5340,6348
1586,5341,6808
1587,5342,6330
1588,5343,6476
1589,5344,6650
1590,5345,6529
1591,5346,6544
1592,5349,5919
1593,5351,6956
1594,5352,6561
1595,5353,6031
1596,5354,6507
1597,5356,6509
1598,5357,6512
1599,5358,6137
1600,5359,6604
1601,5361,6403
1602,5362,6076
1603,5363,7101
1604,5364,6978
1605,5365,6515
1606,5366,6517
1607,5367,6802
1608,5368,6803
1609,5369,6717
1610,5370,6711
1611,5372,6524
1612,5373,6500
1613,5374,6658
1614,5375,7092
1615,5378,6165
1616,5379,6528
1617,5380,6082
1618,5381,7199
1619,5382,6530
1620,5383,6534
1621,5384,6818
1622,5385,6554
1623,5386,6719
1624,5388,6745
1625,5389,5689
1626,5390,6838
1627,5391,6497
1628,5393,6353
1629,5394,6540
1630,5395,6542
1631,5396,6777
1632,5397,6029
1633,5399,6729
1634,5400,6899
1635,5401,6871
1636,5402,7021
1637,5405,6584
1638,5406,7370
1639,5407,6564
1640,5409,6380
1641,5410,6560
1642,5411,6504
1643,5413,6357
1644,5414,6406
1645,5417,7064
1646,5418,6685
1647,5419,6694
1648,5420,6779
1649,5421,6701
1650,5422,6703
1651,5423,6704
1652,5424,6860
1653,5425,6230
1654,5426,6578
1655,5429,6291
1656,5430,7308
1657,5434,6728
1658,5435,6905
1659,5438,7309
1660,5439,6753
1661,5440,6756
1662,5441,6757
1663,5442,6455
1664,5443,6765
1665,5445,6579
1666,5446,6286
1667,5448,6656
1668,5450,6027
1669,5451,7171
1670,5452,7070
1671,5453,7252
1672,5455,6794
1673,5457,6256
1674,5458,6686
